sensor_id,timestamp,room_id,occupancy_count,power_kw,temperature_c,source_system
SENS_R026,2026-08-22T07:00:00,R026,7,1.13,23.61,IoT
SENS_R027,2026-08-22T07:00:00,R027,30,1.5,24.79,IoT
SENS_R028,2026-08-22T07:00:00,R028,5,1.25,22.74,IoT
SENS_R029,2026-08-22T07:00:00,R029,20,1.58,23.93,IoT
SENS_R030,2026-08-22T07:00:00,R030,16,1.05,25.05,IoT
SENS_R001,2026-08-22T08:00:00,R001,12,1.93,25.07,IoT
SENS_R002,2026-08-22T08:00:00,R002,16,1.25,23.25,IoT
SENS_R003,2026-08-22T08:00:00,R003,15,1.17,23.22,IoT
SENS_R004,2026-08-22T08:00:00,R004,20,1.88,26.02,IoT
SENS_R005,2026-08-22T08:00:00,R005,22,1.82,22.48,IoT
SENS_R006,2026-08-22T08:00:00,R006,11,1.6,24.48,IoT
SENS_R007,2026-08-22T08:00:00,R007,0,0.76,23.51,IoT
SENS_R008,2026-08-22T08:00:00,R008,11,1.02,24.78,IoT
SENS_R009,2026-08-22T08:00:00,R009,10,1.3,24.46,IoT
SENS_R010,2026-08-22T08:00:00,R010,6,1.16,23.72,IoT
SENS_R011,2026-08-22T08:00:00,R011,10,1.11,23.46,IoT
SENS_R012,2026-08-22T08:00:00,R012,7,0.87,23.57,IoT
SENS_R013,2026-08-22T08:00:00,R013,9,0.91,22.6,IoT
SENS_R014,2026-08-22T08:00:00,R014,7,1.18,24.55,IoT
SENS_R015,2026-08-22T08:00:00,R015,5,1.21,23.12,IoT
SENS_R016,2026-08-22T08:00:00,R016,11,1.06,23.9,IoT
SENS_R017,2026-08-22T08:00:00,R017,11,0.86,23.05,IoT
SENS_R018,2026-08-22T08:00:00,R018,10,0.92,24.66,IoT
SENS_R019,2026-08-22T08:00:00,R019,13,1.16,24.83,IoT
SENS_R020,2026-08-22T08:00:00,R020,8,1.27,24.06,IoT
SENS_R021,2026-08-22T08:00:00,R021,23,1.51,23.52,IoT
SENS_R022,2026-08-22T08:00:00,R022,15,1.41,23.92,IoT
SENS_R023,2026-08-22T08:00:00,R023,5,1.36,23.06,IoT
SENS_R024,2026-08-22T08:00:00,R024,12,1.63,24.87,IoT
SENS_R025,2026-08-22T08:00:00,R025,0,1.0,24.15,IoT
SENS_R026,2026-08-22T08:00:00,R026,5,0.73,22.03,IoT
SENS_R027,2026-08-22T08:00:00,R027,32,1.35,22.95,IoT
SENS_R028,2026-08-22T08:00:00,R028,15,2.02,24.66,IoT
SENS_R029,2026-08-22T08:00:00,R029,25,1.12,25.03,IoT
SENS_R030,2026-08-22T08:00:00,R030,17,1.8,24.7,IoT
SENS_R001,2026-08-22T09:00:00,R001,5,1.37,24.81,IoT
SENS_R002,2026-08-22T09:00:00,R002,15,1.09,24.5,IoT
SENS_R003,2026-08-22T09:00:00,R003,36,1.93,23.52,IoT
SENS_R004,2026-08-22T09:00:00,R004,26,1.75,25.27,IoT
SENS_R005,2026-08-22T09:00:00,R005,27,1.79,24.47,IoT
SENS_R006,2026-08-22T09:00:00,R006,1,1.05,24.29,IoT
SENS_R007,2026-08-22T09:00:00,R007,13,1.99,24.86,IoT
SENS_R008,2026-08-22T09:00:00,R008,12,1.44,24.05,IoT
SENS_R009,2026-08-22T09:00:00,R009,17,2.1,23.9,IoT
SENS_R010,2026-08-22T09:00:00,R010,21,1.66,23.43,IoT
SENS_R011,2026-08-22T09:00:00,R011,5,1.19,24.19,IoT
SENS_R012,2026-08-22T09:00:00,R012,15,1.19,24.5,IoT
SENS_R013,2026-08-22T09:00:00,R013,36,1.28,23.73,IoT
SENS_R014,2026-08-22T09:00:00,R014,3,1.22,24.43,IoT
SENS_R015,2026-08-22T09:00:00,R015,1,0.8,23.66,IoT
SENS_R016,2026-08-22T09:00:00,R016,4,1.37,24.88,IoT
SENS_R017,2026-08-22T09:00:00,R017,6,0.99,23.84,IoT
SENS_R018,2026-08-22T09:00:00,R018,12,0.78,21.95,IoT
SENS_R019,2026-08-22T09:00:00,R019,4,1.33,24.99,IoT
SENS_R020,2026-08-22T09:00:00,R020,16,1.89,24.13,IoT
SENS_R021,2026-08-22T09:00:00,R021,8,1.02,24.32,IoT
SENS_R022,2026-08-22T09:00:00,R022,7,1.18,24.17,IoT
SENS_R023,2026-08-22T09:00:00,R023,8,1.46,25.69,IoT
SENS_R024,2026-08-22T09:00:00,R024,4,1.22,24.98,IoT
SENS_R025,2026-08-22T09:00:00,R025,10,0.87,22.43,IoT
SENS_R026,2026-08-22T09:00:00,R026,11,1.58,23.69,IoT
SENS_R027,2026-08-22T09:00:00,R027,0,0.57,24.09,IoT
SENS_R028,2026-08-22T09:00:00,R028,12,1.41,22.4,IoT
SENS_R029,2026-08-22T09:00:00,R029,27,1.45,24.83,IoT
SENS_R030,2026-08-22T09:00:00,R030,15,1.5,24.03,IoT
SENS_R001,2026-08-22T10:00:00,R001,2,0.65,23.41,IoT
SENS_R002,2026-08-22T10:00:00,R002,16,1.63,25.87,IoT
SENS_R003,2026-08-22T10:00:00,R003,21,1.56,24.1,IoT
SENS_R004,2026-08-22T10:00:00,R004,11,1.21,24.19,IoT
SENS_R005,2026-08-22T10:00:00,R005,8,1.01,23.32,IoT
SENS_R006,2026-08-22T10:00:00,R006,12,1.84,25.33,IoT
SENS_R007,2026-08-22T10:00:00,R007,2,0.91,22.29,IoT
SENS_R008,2026-08-22T10:00:00,R008,8,0.78,23.27,IoT
SENS_R009,2026-08-22T10:00:00,R009,14,1.06,23.63,IoT
SENS_R010,2026-08-22T10:00:00,R010,0,0.7,22.55,IoT
SENS_R011,2026-08-22T10:00:00,R011,35,2.13,25.0,IoT
SENS_R012,2026-08-22T10:00:00,R012,16,0.94,22.72,IoT
SENS_R013,2026-08-22T10:00:00,R013,0,1.14,24.77,IoT
SENS_R014,2026-08-22T10:00:00,R014,12,1.99,23.37,IoT
SENS_R015,2026-08-22T10:00:00,R015,5,1.21,25.13,IoT
SENS_R016,2026-08-22T10:00:00,R016,18,1.44,24.23,IoT
SENS_R017,2026-08-22T10:00:00,R017,15,1.27,23.2,IoT
SENS_R018,2026-08-22T10:00:00,R018,6,0.6,24.48,IoT
SENS_R019,2026-08-22T10:00:00,R019,18,1.97,24.85,IoT
SENS_R020,2026-08-22T10:00:00,R020,8,1.11,24.41,IoT
SENS_R021,2026-08-22T10:00:00,R021,19,1.57,25.68,IoT
SENS_R022,2026-08-22T10:00:00,R022,26,1.83,22.5,IoT
SENS_R023,2026-08-22T10:00:00,R023,3,0.93,25.0,IoT
SENS_R024,2026-08-22T10:00:00,R024,10,1.13,25.07,IoT
SENS_R025,2026-08-22T10:00:00,R025,11,1.35,24.54,IoT
SENS_R026,2026-08-22T10:00:00,R026,8,1.12,24.4,IoT
SENS_R027,2026-08-22T10:00:00,R027,22,1.25,24.19,IoT
SENS_R028,2026-08-22T10:00:00,R028,11,1.93,25.05,IoT
SENS_R029,2026-08-22T10:00:00,R029,22,1.37,23.14,IoT
SENS_R030,2026-08-22T10:00:00,R030,18,1.82,25.9,IoT
SENS_R001,2026-08-22T11:00:00,R001,3,1.12,23.97,IoT
SENS_R002,2026-08-22T11:00:00,R002,21,1.31,24.46,IoT
SENS_R003,2026-08-22T11:00:00,R003,12,0.9,23.9,IoT
SENS_R004,2026-08-22T11:00:00,R004,45,2.3,24.3,IoT
SENS_R005,2026-08-22T11:00:00,R005,19,0.87,24.37,IoT
SENS_R006,2026-08-22T11:00:00,R006,3,0.79,23.4,IoT
SENS_R007,2026-08-22T11:00:00,R007,5,1.21,25.47,IoT
SENS_R008,2026-08-22T11:00:00,R008,10,1.23,24.03,IoT
SENS_R009,2026-08-22T11:00:00,R009,12,1.53,23.68,IoT
SENS_R010,2026-08-22T11:00:00,R010,10,1.33,24.6,IoT
SENS_R011,2026-08-22T11:00:00,R011,21,1.04,23.7,IoT
SENS_R012,2026-08-22T11:00:00,R012,19,1.51,23.38,IoT
SENS_R013,2026-08-22T11:00:00,R013,1,1.03,25.1,IoT
SENS_R014,2026-08-22T11:00:00,R014,0,0.33,22.06,IoT
SENS_R015,2026-08-22T11:00:00,R015,6,1.27,23.39,IoT
SENS_R016,2026-08-22T11:00:00,R016,23,1.97,23.86,IoT
SENS_R017,2026-08-22T11:00:00,R017,7,1.05,24.76,IoT
SENS_R018,2026-08-22T11:00:00,R018,7,1.02,23.77,IoT
SENS_R019,2026-08-22T11:00:00,R019,18,2.17,24.42,IoT
SENS_R020,2026-08-22T11:00:00,R020,11,1.27,23.65,IoT
SENS_R021,2026-08-22T11:00:00,R021,8,0.98,23.87,IoT
SENS_R022,2026-08-22T11:00:00,R022,8,1.11,24.46,IoT
SENS_R023,2026-08-22T11:00:00,R023,7,1.76,24.06,IoT
SENS_R024,2026-08-22T11:00:00,R024,0,0.62,23.43,IoT
SENS_R025,2026-08-22T11:00:00,R025,10,1.38,22.97,IoT
SENS_R026,2026-08-22T11:00:00,R026,8,1.3,24.44,IoT
SENS_R027,2026-08-22T11:00:00,R027,21,1.08,23.88,IoT
SENS_R028,2026-08-22T11:00:00,R028,15,1.51,24.95,IoT
SENS_R029,2026-08-22T11:00:00,R029,8,1.45,24.11,IoT
SENS_R030,2026-08-22T11:00:00,R030,3,0.84,22.49,IoT
SENS_R001,2026-08-22T12:00:00,R001,8,0.91,24.02,IoT
SENS_R002,2026-08-22T12:00:00,R002,19,1.31,24.51,IoT
SENS_R003,2026-08-22T12:00:00,R003,26,1.36,23.85,IoT
SENS_R004,2026-08-22T12:00:00,R004,45,2.35,23.6,IoT
SENS_R005,2026-08-22T12:00:00,R005,20,2.02,23.6,IoT
SENS_R006,2026-08-22T12:00:00,R006,16,1.82,23.99,IoT
SENS_R007,2026-08-22T12:00:00,R007,6,1.51,23.6,IoT
SENS_R008,2026-08-22T12:00:00,R008,27,1.52,24.98,IoT
SENS_R009,2026-08-22T12:00:00,R009,7,1.27,24.2,IoT
SENS_R010,2026-08-22T12:00:00,R010,16,1.3,23.5,IoT
SENS_R011,2026-08-22T12:00:00,R011,8,1.12,24.28,IoT
SENS_R012,2026-08-22T12:00:00,R012,13,1.12,23.74,IoT
SENS_R013,2026-08-22T12:00:00,R013,27,1.89,26.54,IoT
SENS_R014,2026-08-22T12:00:00,R014,6,1.75,24.26,IoT
SENS_R015,2026-08-22T12:00:00,R015,17,2.6,26.33,IoT
SENS_R016,2026-08-22T12:00:00,R016,0,1.0,24.15,IoT
SENS_R017,2026-08-22T12:00:00,R017,21,1.82,24.71,IoT
SENS_R018,2026-08-22T12:00:00,R018,1,0.94,25.09,IoT
SENS_R019,2026-08-22T12:00:00,R019,8,1.44,25.33,IoT
SENS_R020,2026-08-22T12:00:00,R020,17,1.97,25.2,IoT
SENS_R021,2026-08-22T12:00:00,R021,9,0.99,24.19,IoT
SENS_R022,2026-08-22T12:00:00,R022,0,0.4,23.05,IoT
SENS_R023,2026-08-22T12:00:00,R023,7,1.74,23.55,IoT
SENS_R024,2026-08-22T12:00:00,R024,14,1.52,24.22,IoT
SENS_R025,2026-08-22T12:00:00,R025,16,1.34,25.69,IoT
SENS_R026,2026-08-22T12:00:00,R026,6,1.46,24.74,IoT
SENS_R027,2026-08-22T12:00:00,R027,17,1.27,24.11,IoT
SENS_R028,2026-08-22T12:00:00,R028,9,1.14,24.18,IoT
SENS_R029,2026-08-22T12:00:00,R029,48,1.57,24.75,IoT
SENS_R030,2026-08-22T12:00:00,R030,10,1.53,24.2,IoT
SENS_R001,2026-08-22T13:00:00,R001,1,1.17,25.44,IoT
SENS_R002,2026-08-22T13:00:00,R002,27,1.76,24.48,IoT
SENS_R003,2026-08-22T13:00:00,R003,23,1.48,24.35,IoT
SENS_R004,2026-08-22T13:00:00,R004,21,1.82,25.34,IoT
SENS_R005,2026-08-22T13:00:00,R005,14,1.04,24.64,IoT
SENS_R006,2026-08-22T13:00:00,R006,9,1.19,23.2,IoT
SENS_R007,2026-08-22T13:00:00,R007,3,1.43,25.1,IoT
SENS_R008,2026-08-22T13:00:00,R008,12,1.42,24.71,IoT
SENS_R009,2026-08-22T13:00:00,R009,0,0.79,24.88,IoT
SENS_R010,2026-08-22T13:00:00,R010,4,0.99,23.69,IoT
SENS_R011,2026-08-22T13:00:00,R011,9,1.36,24.66,IoT
SENS_R012,2026-08-22T13:00:00,R012,9,1.11,23.09,IoT
SENS_R013,2026-08-22T13:00:00,R013,55,1.74,24.31,IoT
SENS_R014,2026-08-22T13:00:00,R014,6,1.28,23.11,IoT
SENS_R015,2026-08-22T13:00:00,R015,2,1.06,22.36,IoT
SENS_R016,2026-08-22T13:00:00,R016,25,1.73,25.02,IoT
SENS_R017,2026-08-22T13:00:00,R017,17,1.13,23.38,IoT
SENS_R018,2026-08-22T13:00:00,R018,27,1.56,24.32,IoT
SENS_R019,2026-08-22T13:00:00,R019,0,0.9,23.93,IoT
SENS_R020,2026-08-22T13:00:00,R020,7,0.6,23.55,IoT
SENS_R021,2026-08-22T13:00:00,R021,21,2.21,25.35,IoT
SENS_R022,2026-08-22T13:00:00,R022,12,1.23,23.29,IoT
SENS_R023,2026-08-22T13:00:00,R023,11,1.76,24.66,IoT
SENS_R024,2026-08-22T13:00:00,R024,19,2.09,23.56,IoT
SENS_R025,2026-08-22T13:00:00,R025,5,0.83,22.91,IoT
SENS_R026,2026-08-22T13:00:00,R026,3,1.32,22.7,IoT
SENS_R027,2026-08-22T13:00:00,R027,0,1.03,24.71,IoT
SENS_R028,2026-08-22T13:00:00,R028,1,1.36,22.86,IoT
SENS_R029,2026-08-22T13:00:00,R029,12,1.05,23.07,IoT
SENS_R030,2026-08-22T13:00:00,R030,1,1.03,24.35,IoT
SENS_R001,2026-08-22T14:00:00,R001,10,1.87,23.45,IoT
SENS_R002,2026-08-22T14:00:00,R002,3,0.43,24.13,IoT
SENS_R003,2026-08-22T14:00:00,R003,5,1.22,24.93,IoT
SENS_R004,2026-08-22T14:00:00,R004,25,1.74,24.08,IoT
SENS_R005,2026-08-22T14:00:00,R005,34,1.67,24.45,IoT
SENS_R006,2026-08-22T14:00:00,R006,1,0.54,22.54,IoT
SENS_R007,2026-08-22T14:00:00,R007,10,2.01,23.36,IoT
SENS_R008,2026-08-22T14:00:00,R008,19,1.69,23.77,IoT
SENS_R009,2026-08-22T14:00:00,R009,4,1.24,23.43,IoT
SENS_R010,2026-08-22T14:00:00,R010,6,1.08,23.76,IoT
SENS_R011,2026-08-22T14:00:00,R011,23,1.2,23.76,IoT
SENS_R012,2026-08-22T14:00:00,R012,11,1.38,26.08,IoT
SENS_R013,2026-08-22T14:00:00,R013,34,1.21,23.82,IoT
SENS_R014,2026-08-22T14:00:00,R014,7,0.92,24.26,IoT
SENS_R015,2026-08-22T14:00:00,R015,6,1.14,22.93,IoT
SENS_R016,2026-08-22T14:00:00,R016,10,1.48,22.69,IoT
SENS_R017,2026-08-22T14:00:00,R017,20,2.38,25.04,IoT
SENS_R018,2026-08-22T14:00:00,R018,5,0.69,23.73,IoT
SENS_R019,2026-08-22T14:00:00,R019,17,1.65,23.62,IoT
SENS_R020,2026-08-22T14:00:00,R020,0,0.75,24.54,IoT
SENS_R021,2026-08-22T14:00:00,R021,10,0.97,24.79,IoT
SENS_R022,2026-08-22T14:00:00,R022,7,0.84,24.03,IoT
SENS_R023,2026-08-22T14:00:00,R023,3,0.84,23.68,IoT
SENS_R024,2026-08-22T14:00:00,R024,13,1.45,24.01,IoT
SENS_R025,2026-08-22T14:00:00,R025,13,1.49,24.42,IoT
SENS_R026,2026-08-22T14:00:00,R026,8,1.53,22.24,IoT
SENS_R027,2026-08-22T14:00:00,R027,19,1.49,23.54,IoT
SENS_R028,2026-08-22T14:00:00,R028,12,1.42,24.33,IoT
SENS_R029,2026-08-22T14:00:00,R029,36,1.84,23.06,IoT
SENS_R030,2026-08-22T14:00:00,R030,4,1.01,22.73,IoT
SENS_R001,2026-08-22T15:00:00,R001,10,1.5,24.86,IoT
SENS_R002,2026-08-22T15:00:00,R002,11,1.11,23.84,IoT
SENS_R003,2026-08-22T15:00:00,R003,22,1.14,22.84,IoT
SENS_R004,2026-08-22T15:00:00,R004,20,1.42,24.41,IoT
SENS_R005,2026-08-22T15:00:00,R005,16,0.9,23.79,IoT
SENS_R006,2026-08-22T15:00:00,R006,7,1.13,24.23,IoT
SENS_R007,2026-08-22T15:00:00,R007,5,1.59,25.35,IoT
SENS_R008,2026-08-22T15:00:00,R008,14,1.36,23.62,IoT
SENS_R009,2026-08-22T15:00:00,R009,6,1.15,23.67,IoT
SENS_R010,2026-08-22T15:00:00,R010,13,1.39,23.75,IoT
SENS_R011,2026-08-22T15:00:00,R011,33,1.63,24.59,IoT
SENS_R012,2026-08-22T15:00:00,R012,8,1.17,23.92,IoT
SENS_R013,2026-08-22T15:00:00,R013,36,1.39,23.83,IoT
SENS_R014,2026-08-22T15:00:00,R014,7,1.68,23.71,IoT
SENS_R015,2026-08-22T15:00:00,R015,8,1.44,23.69,IoT
SENS_R016,2026-08-22T15:00:00,R016,24,2.14,25.42,IoT
SENS_R017,2026-08-22T15:00:00,R017,16,1.37,25.58,IoT
SENS_R018,2026-08-22T15:00:00,R018,19,1.17,23.16,IoT
SENS_R019,2026-08-22T15:00:00,R019,14,1.32,24.49,IoT
SENS_R020,2026-08-22T15:00:00,R020,6,1.2,23.55,IoT
SENS_R021,2026-08-22T15:00:00,R021,15,1.78,23.8,IoT
SENS_R022,2026-08-22T15:00:00,R022,13,1.24,23.79,IoT
SENS_R023,2026-08-22T15:00:00,R023,8,1.33,23.88,IoT
SENS_R024,2026-08-22T15:00:00,R024,5,0.97,22.59,IoT
SENS_R025,2026-08-22T15:00:00,R025,29,1.91,25.46,IoT
SENS_R026,2026-08-22T15:00:00,R026,14,1.92,25.44,IoT
SENS_R027,2026-08-22T15:00:00,R027,16,1.07,22.54,IoT
SENS_R028,2026-08-22T15:00:00,R028,16,1.4,23.17,IoT
SENS_R029,2026-08-22T15:00:00,R029,16,0.93,22.24,IoT
SENS_R030,2026-08-22T15:00:00,R030,4,1.16,23.34,IoT
SENS_R001,2026-08-22T16:00:00,R001,5,1.43,24.63,IoT
SENS_R002,2026-08-22T16:00:00,R002,14,1.39,24.33,IoT
SENS_R003,2026-08-22T16:00:00,R003,30,2.05,24.51,IoT
SENS_R004,2026-08-22T16:00:00,R004,12,1.63,24.84,IoT
SENS_R005,2026-08-22T16:00:00,R005,8,0.85,23.49,IoT
SENS_R006,2026-08-22T16:00:00,R006,3,0.73,22.78,IoT
SENS_R007,2026-08-22T16:00:00,R007,6,1.38,25.24,IoT
SENS_R008,2026-08-22T16:00:00,R008,7,0.6,23.38,IoT
SENS_R009,2026-08-22T16:00:00,R009,16,1.71,24.14,IoT
SENS_R010,2026-08-22T16:00:00,R010,8,0.82,24.36,IoT
SENS_R011,2026-08-22T16:00:00,R011,12,1.3,23.98,IoT
SENS_R012,2026-08-22T16:00:00,R012,13,1.52,25.76,IoT
SENS_R013,2026-08-22T16:00:00,R013,38,1.52,24.42,IoT
SENS_R014,2026-08-22T16:00:00,R014,6,1.16,23.19,IoT
SENS_R015,2026-08-22T16:00:00,R015,4,1.14,23.38,IoT
SENS_R016,2026-08-22T16:00:00,R016,17,1.64,25.13,IoT
SENS_R017,2026-08-22T16:00:00,R017,18,2.27,25.74,IoT
SENS_R018,2026-08-22T16:00:00,R018,15,1.38,24.26,IoT
SENS_R019,2026-08-22T16:00:00,R019,4,0.99,24.26,IoT
SENS_R020,2026-08-22T16:00:00,R020,14,1.9,24.55,IoT
SENS_R021,2026-08-22T16:00:00,R021,8,1.76,24.86,IoT
SENS_R022,2026-08-22T16:00:00,R022,3,1.0,22.69,IoT
SENS_R023,2026-08-22T16:00:00,R023,6,1.19,25.29,IoT
SENS_R024,2026-08-22T16:00:00,R024,10,1.65,24.87,IoT
SENS_R025,2026-08-22T16:00:00,R025,21,1.7,24.1,IoT
SENS_R026,2026-08-22T16:00:00,R026,16,2.09,25.52,IoT
SENS_R027,2026-08-22T16:00:00,R027,29,1.17,25.28,IoT
SENS_R028,2026-08-22T16:00:00,R028,8,1.26,24.59,IoT
SENS_R029,2026-08-22T16:00:00,R029,35,1.41,23.51,IoT
SENS_R030,2026-08-22T16:00:00,R030,6,1.07,22.7,IoT
SENS_R001,2026-08-22T17:00:00,R001,2,0.87,24.18,IoT
SENS_R002,2026-08-22T17:00:00,R002,18,1.49,23.9,IoT
SENS_R003,2026-08-22T17:00:00,R003,10,1.28,23.51,IoT
SENS_R004,2026-08-22T17:00:00,R004,14,1.44,24.55,IoT
SENS_R005,2026-08-22T17:00:00,R005,23,1.9,24.67,IoT
SENS_R006,2026-08-22T17:00:00,R006,16,1.62,24.21,IoT
SENS_R007,2026-08-22T17:00:00,R007,5,1.13,25.02,IoT
SENS_R008,2026-08-22T17:00:00,R008,14,1.39,24.29,IoT
SENS_R009,2026-08-22T17:00:00,R009,17,1.84,23.5,IoT
SENS_R010,2026-08-22T17:00:00,R010,10,1.39,25.21,IoT
SENS_R011,2026-08-22T17:00:00,R011,11,1.0,22.4,IoT
SENS_R012,2026-08-22T17:00:00,R012,7,1.35,22.63,IoT
SENS_R013,2026-08-22T17:00:00,R013,30,1.08,24.45,IoT
SENS_R014,2026-08-22T17:00:00,R014,0,0.78,23.46,IoT
SENS_R015,2026-08-22T17:00:00,R015,7,1.51,24.28,IoT
SENS_R016,2026-08-22T17:00:00,R016,10,1.24,24.3,IoT
SENS_R017,2026-08-22T17:00:00,R017,23,2.17,24.3,IoT
SENS_R018,2026-08-22T17:00:00,R018,21,1.36,24.48,IoT
SENS_R019,2026-08-22T17:00:00,R019,21,1.87,24.55,IoT
SENS_R020,2026-08-22T17:00:00,R020,7,1.59,24.78,IoT
SENS_R021,2026-08-22T17:00:00,R021,9,1.39,23.5,IoT
SENS_R022,2026-08-22T17:00:00,R022,11,1.26,25.19,IoT
SENS_R023,2026-08-22T17:00:00,R023,13,1.83,26.26,IoT
SENS_R024,2026-08-22T17:00:00,R024,4,1.03,23.64,IoT
SENS_R025,2026-08-22T17:00:00,R025,1,0.91,25.03,IoT
SENS_R026,2026-08-22T17:00:00,R026,8,1.48,23.64,IoT
SENS_R027,2026-08-22T17:00:00,R027,1,0.67,25.13,IoT
SENS_R028,2026-08-22T17:00:00,R028,10,1.74,23.54,IoT
SENS_R029,2026-08-22T17:00:00,R029,27,1.94,24.67,IoT
SENS_R030,2026-08-22T17:00:00,R030,7,1.42,24.41,IoT
SENS_R001,2026-08-22T18:00:00,R001,6,1.22,23.88,IoT
SENS_R002,2026-08-22T18:00:00,R002,29,1.62,23.01,IoT
SENS_R003,2026-08-22T18:00:00,R003,20,1.79,23.56,IoT
SENS_R004,2026-08-22T18:00:00,R004,3,1.04,24.85,IoT
SENS_R005,2026-08-22T18:00:00,R005,2,1.15,24.71,IoT
SENS_R006,2026-08-22T18:00:00,R006,10,1.89,24.96,IoT
SENS_R007,2026-08-22T18:00:00,R007,5,0.89,23.36,IoT
SENS_R008,2026-08-22T18:00:00,R008,21,1.45,23.62,IoT
SENS_R009,2026-08-22T18:00:00,R009,11,0.9,22.77,IoT
SENS_R010,2026-08-22T18:00:00,R010,5,0.96,23.25,IoT
SENS_R011,2026-08-22T18:00:00,R011,0,0.95,23.98,IoT
SENS_R012,2026-08-22T18:00:00,R012,20,1.5,25.23,IoT
SENS_R013,2026-08-22T18:00:00,R013,26,1.59,25.12,IoT
SENS_R014,2026-08-22T18:00:00,R014,15,2.0,24.48,IoT
SENS_R015,2026-08-22T18:00:00,R015,0,0.89,22.48,IoT
SENS_R016,2026-08-22T18:00:00,R016,10,1.2,24.7,IoT
