course_code,course_name,enrolled_students,instructor,source_system,last_updated
C091,CE Course 091,108,F041,LMS,2026-09-20T08:00:00
C092,MBA Course 092,87,F022,LMS,2026-09-20T08:00:00
C093,EEE Course 093,110,F045,LMS,2026-09-20T08:00:00
C094,ME Course 094,61,F030,LMS,2026-09-20T08:00:00
C095,CSE Course 095,65,F033,LMS,2026-09-20T08:00:00
C096,MBA Course 096,25,F004,LMS,2026-09-20T08:00:00
C097,ECE Course 097,91,F049,LMS,2026-09-20T08:00:00
C098,CSE Course 098,51,F029,LMS,2026-09-20T08:00:00
C099,AI-DS Course 099,87,F046,LMS,2026-09-20T08:00:00
C100,ECE Course 100,64,F015,LMS,2026-09-20T08:00:00
