outcome_id,recommendation_id,executed_at,predicted_utilization,actual_utilization,absolute_error,execution_success,human_approved,observed_cost
OUT_0032,REC_0032,2026-09-11T08:00:00,0.865,0.886,0.021,True,False,168.39
OUT_0033,REC_0033,2026-09-11T09:00:00,0.899,0.855,0.044,True,True,49.52
OUT_0034,REC_0034,2026-09-11T10:00:00,0.861,0.842,0.019,True,False,147.11
OUT_0035,REC_0035,2026-09-11T11:00:00,0.907,0.866,0.041,True,False,58.63
OUT_0036,REC_0036,2026-09-11T12:00:00,0.858,0.881,0.023,True,False,138.07
OUT_0037,REC_0037,2026-09-11T13:00:00,0.805,0.658,0.147,True,True,139.31
OUT_0038,REC_0038,2026-09-11T14:00:00,0.786,0.839,0.053,True,True,135.35
OUT_0039,REC_0039,2026-09-11T15:00:00,0.891,0.988,0.097,True,True,90.05
OUT_0040,REC_0040,2026-09-11T16:00:00,0.773,0.73,0.043,True,True,169.52
OUT_0041,REC_0041,2026-09-11T17:00:00,0.847,0.92,0.073,True,False,85.9
OUT_0042,REC_0042,2026-09-11T18:00:00,0.744,0.789,0.045,True,True,44.96
OUT_0043,REC_0043,2026-09-11T19:00:00,0.71,0.551,0.159,True,False,85.09
OUT_0044,REC_0044,2026-09-11T20:00:00,0.744,0.71,0.034,True,True,51.25
OUT_0045,REC_0045,2026-09-11T21:00:00,0.901,0.931,0.03,True,True,132.3
OUT_0046,REC_0046,2026-09-11T22:00:00,0.947,0.852,0.095,True,True,140.19
OUT_0047,REC_0047,2026-09-11T23:00:00,0.933,1.0,0.067,True,True,113.58
OUT_0048,REC_0048,2026-09-12T00:00:00,0.717,0.792,0.075,True,True,51.3
OUT_0049,REC_0049,2026-09-12T01:00:00,0.936,0.98,0.044,True,True,150.56
OUT_0050,REC_0050,2026-09-12T02:00:00,0.932,0.938,0.006,True,True,144.6
OUT_0051,REC_0051,2026-09-12T03:00:00,0.847,0.849,0.002,True,False,94.66
OUT_0052,REC_0052,2026-09-12T04:00:00,0.784,0.76,0.024,True,True,67.44
OUT_0053,REC_0053,2026-09-12T05:00:00,0.797,0.704,0.093,True,True,107.41
OUT_0054,REC_0054,2026-09-12T06:00:00,0.761,0.798,0.037,False,True,41.61
OUT_0055,REC_0055,2026-09-12T07:00:00,0.783,0.792,0.009,True,False,166.4
OUT_0056,REC_0056,2026-09-12T08:00:00,0.96,0.909,0.051,True,False,144.63
OUT_0057,REC_0057,2026-09-12T09:00:00,0.966,1.0,0.034,True,True,118.7
OUT_0058,REC_0058,2026-09-12T10:00:00,0.727,0.667,0.06,True,True,66.35
OUT_0059,REC_0059,2026-09-12T11:00:00,0.911,0.774,0.137,True,False,161.85
OUT_0060,REC_0060,2026-09-12T12:00:00,0.854,0.878,0.024,True,True,131.28
OUT_0061,REC_0061,2026-09-12T13:00:00,0.928,0.821,0.107,True,False,102.43
OUT_0062,REC_0062,2026-09-12T14:00:00,0.718,0.717,0.001,False,True,56.53
OUT_0063,REC_0063,2026-09-12T15:00:00,0.903,0.928,0.025,True,True,84.59
OUT_0064,REC_0064,2026-09-12T16:00:00,0.887,0.999,0.112,True,False,179.37
OUT_0065,REC_0065,2026-09-12T17:00:00,0.869,0.941,0.072,True,True,160.51
OUT_0066,REC_0066,2026-09-12T18:00:00,0.963,0.978,0.015,True,False,152.58
OUT_0067,REC_0067,2026-09-12T19:00:00,0.907,0.9,0.007,True,True,147.58
OUT_0068,REC_0068,2026-09-12T20:00:00,0.884,0.906,0.022,False,True,141.79
OUT_0069,REC_0069,2026-09-12T21:00:00,0.942,0.878,0.064,True,True,66.23
OUT_0070,REC_0070,2026-09-12T22:00:00,0.744,0.745,0.001,True,True,65.04
OUT_0071,REC_0071,2026-09-12T23:00:00,0.949,0.971,0.022,True,True,56.45
OUT_0072,REC_0072,2026-09-13T00:00:00,0.761,0.852,0.091,True,True,143.73
OUT_0073,REC_0073,2026-09-13T01:00:00,0.961,0.941,0.02,True,False,164.75
OUT_0074,REC_0074,2026-09-13T02:00:00,0.775,0.742,0.033,True,False,148.65
OUT_0075,REC_0075,2026-09-13T03:00:00,0.761,0.628,0.133,True,True,106.62
OUT_0076,REC_0076,2026-09-13T04:00:00,0.949,0.978,0.029,True,True,116.34
OUT_0077,REC_0077,2026-09-13T05:00:00,0.755,0.767,0.012,True,True,61.87
OUT_0078,REC_0078,2026-09-13T06:00:00,0.875,0.903,0.028,True,True,117.04
OUT_0079,REC_0079,2026-09-13T07:00:00,0.71,0.654,0.056,True,True,101.21
OUT_0080,REC_0080,2026-09-13T08:00:00,0.793,0.798,0.005,True,True,116.88
OUT_0081,REC_0081,2026-09-13T09:00:00,0.807,0.799,0.008,True,False,59.26
OUT_0082,REC_0082,2026-09-13T10:00:00,0.853,0.877,0.024,True,True,57.84
OUT_0083,REC_0083,2026-09-13T11:00:00,0.876,0.803,0.073,True,False,65.7
OUT_0084,REC_0084,2026-09-13T12:00:00,0.841,0.712,0.129,True,False,55.1
OUT_0085,REC_0085,2026-09-13T13:00:00,0.849,0.789,0.06,True,True,78.32
OUT_0086,REC_0086,2026-09-13T14:00:00,0.851,0.858,0.007,True,True,82.08
OUT_0087,REC_0087,2026-09-13T15:00:00,0.954,0.968,0.014,True,False,175.65
OUT_0088,REC_0088,2026-09-13T16:00:00,0.705,0.627,0.078,True,True,159.36
OUT_0089,REC_0089,2026-09-13T17:00:00,0.969,1.0,0.031,True,True,98.54
OUT_0090,REC_0090,2026-09-13T18:00:00,0.715,0.704,0.011,True,True,151.24
OUT_0091,REC_0091,2026-09-13T19:00:00,0.881,0.793,0.088,True,True,173.23
OUT_0092,REC_0092,2026-09-13T20:00:00,0.789,0.825,0.036,True,True,157.79
OUT_0093,REC_0093,2026-09-13T21:00:00,0.827,0.887,0.06,True,False,69.29
OUT_0094,REC_0094,2026-09-13T22:00:00,0.908,0.896,0.012,True,True,96.66
OUT_0095,REC_0095,2026-09-13T23:00:00,0.786,0.819,0.033,True,False,50.04
OUT_0096,REC_0096,2026-09-14T00:00:00,0.932,0.961,0.029,True,False,126.21
OUT_0097,REC_0097,2026-09-14T01:00:00,0.873,0.854,0.019,True,True,132.53
OUT_0098,REC_0098,2026-09-14T02:00:00,0.815,0.817,0.002,True,True,75.49
OUT_0099,REC_0099,2026-09-14T03:00:00,0.926,0.963,0.037,True,False,147.28
OUT_0100,REC_0100,2026-09-14T04:00:00,0.794,0.696,0.098,True,True,45.18
