resource_id,building_id,name,type,building_type,room_id,room_type,capacity,floor,projector,computers,air_conditioned,status,cost_per_hour,faculty_id,department,max_hours_per_day,student_id,year,course_id,student_count,requires_projector,requires_computer,course_level,equipment_id,equipment_type,replacement_cost,source_priority,data_quality_score,last_observed_at,fusion_status,capabilities
ROOM_R021,B02,Room R021,room,,R021,classroom,70.0,4.0,False,False,True,available,112.46,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,air_conditioned
ROOM_R022,B01,Room R022,room,,R022,classroom,70.0,1.0,True,False,True,available,70.83,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,air_conditioned"
ROOM_R023,B01,Room R023,room,,R023,classroom,40.0,1.0,False,False,True,available,73.32,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,air_conditioned
ROOM_R024,B04,Room R024,room,,R024,seminar,70.0,2.0,True,False,True,available,74.02,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,air_conditioned"
ROOM_R025,B04,Room R025,room,,R025,classroom,120.0,1.0,True,True,True,available,105.38,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,computer,air_conditioned"
ROOM_R026,B01,Room R026,room,,R026,classroom,50.0,4.0,True,False,True,available,66.82,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,air_conditioned"
ROOM_R027,B05,Room R027,room,,R027,classroom,150.0,4.0,True,False,False,available,50.55,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,projector
ROOM_R028,B05,Room R028,room,,R028,classroom,50.0,1.0,False,False,False,available,63.28,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
ROOM_R029,B04,Room R029,room,,R029,classroom,150.0,4.0,False,True,True,available,94.66,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"computer,air_conditioned"
ROOM_R030,B04,Room R030,room,,R030,lab,80.0,4.0,True,True,True,available,175.62,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,computer,air_conditioned"
FAC_F001,,Faculty 001,faculty,,,,,,,,,available,,F001,CE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F002,,Faculty 002,faculty,,,,,,,,,available,,F002,AI-DS,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F003,,Faculty 003,faculty,,,,,,,,,available,,F003,CSE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F004,,Faculty 004,faculty,,,,,,,,,available,,F004,CE,8.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F005,,Faculty 005,faculty,,,,,,,,,available,,F005,CE,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F006,,Faculty 006,faculty,,,,,,,,,available,,F006,CSE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F007,,Faculty 007,faculty,,,,,,,,,available,,F007,MBA,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F008,,Faculty 008,faculty,,,,,,,,,available,,F008,CSE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F009,,Faculty 009,faculty,,,,,,,,,available,,F009,AI-DS,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F010,,Faculty 010,faculty,,,,,,,,,available,,F010,ME,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F011,,Faculty 011,faculty,,,,,,,,,available,,F011,CE,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F012,,Faculty 012,faculty,,,,,,,,,available,,F012,CE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F013,,Faculty 013,faculty,,,,,,,,,available,,F013,CE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F014,,Faculty 014,faculty,,,,,,,,,available,,F014,ME,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F015,,Faculty 015,faculty,,,,,,,,,available,,F015,EEE,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F016,,Faculty 016,faculty,,,,,,,,,available,,F016,AI-DS,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F017,,Faculty 017,faculty,,,,,,,,,available,,F017,ECE,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F018,,Faculty 018,faculty,,,,,,,,,available,,F018,ME,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F019,,Faculty 019,faculty,,,,,,,,,available,,F019,AI-DS,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F020,,Faculty 020,faculty,,,,,,,,,available,,F020,ME,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F021,,Faculty 021,faculty,,,,,,,,,available,,F021,MBA,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F022,,Faculty 022,faculty,,,,,,,,,available,,F022,CSE,8.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F023,,Faculty 023,faculty,,,,,,,,,available,,F023,CE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F024,,Faculty 024,faculty,,,,,,,,,available,,F024,CSE,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F025,,Faculty 025,faculty,,,,,,,,,available,,F025,CE,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F026,,Faculty 026,faculty,,,,,,,,,available,,F026,ECE,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F027,,Faculty 027,faculty,,,,,,,,,available,,F027,CSE,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F028,,Faculty 028,faculty,,,,,,,,,available,,F028,EEE,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F029,,Faculty 029,faculty,,,,,,,,,available,,F029,ECE,8.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F030,,Faculty 030,faculty,,,,,,,,,available,,F030,MBA,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F031,,Faculty 031,faculty,,,,,,,,,available,,F031,CE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F032,,Faculty 032,faculty,,,,,,,,,available,,F032,AI-DS,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F033,,Faculty 033,faculty,,,,,,,,,available,,F033,AI-DS,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F034,,Faculty 034,faculty,,,,,,,,,available,,F034,ECE,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F035,,Faculty 035,faculty,,,,,,,,,available,,F035,CSE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F036,,Faculty 036,faculty,,,,,,,,,available,,F036,AI-DS,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F037,,Faculty 037,faculty,,,,,,,,,available,,F037,EEE,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F038,,Faculty 038,faculty,,,,,,,,,available,,F038,CE,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F039,,Faculty 039,faculty,,,,,,,,,available,,F039,AI-DS,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F040,,Faculty 040,faculty,,,,,,,,,available,,F040,ECE,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F041,,Faculty 041,faculty,,,,,,,,,available,,F041,CE,8.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F042,,Faculty 042,faculty,,,,,,,,,available,,F042,EEE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F043,,Faculty 043,faculty,,,,,,,,,available,,F043,CSE,8.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F044,,Faculty 044,faculty,,,,,,,,,available,,F044,MBA,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F045,,Faculty 045,faculty,,,,,,,,,available,,F045,CSE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F046,,Faculty 046,faculty,,,,,,,,,available,,F046,EEE,6.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F047,,Faculty 047,faculty,,,,,,,,,available,,F047,AI-DS,7.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F048,,Faculty 048,faculty,,,,,,,,,available,,F048,ECE,8.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F049,,Faculty 049,faculty,,,,,,,,,available,,F049,CE,8.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
FAC_F050,,Faculty 050,faculty,,,,,,,,,available,,F050,CE,5.0,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0001,,Student 0001,student,,,,,,,,,,,,MBA,,S0001,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0002,,Student 0002,student,,,,,,,,,,,,ME,,S0002,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0003,,Student 0003,student,,,,,,,,,,,,AI-DS,,S0003,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0004,,Student 0004,student,,,,,,,,,,,,ME,,S0004,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0005,,Student 0005,student,,,,,,,,,,,,CE,,S0005,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0006,,Student 0006,student,,,,,,,,,,,,ME,,S0006,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0007,,Student 0007,student,,,,,,,,,,,,ME,,S0007,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0008,,Student 0008,student,,,,,,,,,,,,ME,,S0008,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0009,,Student 0009,student,,,,,,,,,,,,ME,,S0009,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0010,,Student 0010,student,,,,,,,,,,,,CE,,S0010,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0011,,Student 0011,student,,,,,,,,,,,,MBA,,S0011,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0012,,Student 0012,student,,,,,,,,,,,,EEE,,S0012,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0013,,Student 0013,student,,,,,,,,,,,,EEE,,S0013,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0014,,Student 0014,student,,,,,,,,,,,,MBA,,S0014,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0015,,Student 0015,student,,,,,,,,,,,,EEE,,S0015,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0016,,Student 0016,student,,,,,,,,,,,,MBA,,S0016,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0017,,Student 0017,student,,,,,,,,,,,,MBA,,S0017,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0018,,Student 0018,student,,,,,,,,,,,,ME,,S0018,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0019,,Student 0019,student,,,,,,,,,,,,EEE,,S0019,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0020,,Student 0020,student,,,,,,,,,,,,CE,,S0020,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0021,,Student 0021,student,,,,,,,,,,,,ME,,S0021,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0022,,Student 0022,student,,,,,,,,,,,,MBA,,S0022,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0023,,Student 0023,student,,,,,,,,,,,,AI-DS,,S0023,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0024,,Student 0024,student,,,,,,,,,,,,CE,,S0024,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0025,,Student 0025,student,,,,,,,,,,,,ECE,,S0025,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0026,,Student 0026,student,,,,,,,,,,,,CSE,,S0026,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0027,,Student 0027,student,,,,,,,,,,,,AI-DS,,S0027,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0028,,Student 0028,student,,,,,,,,,,,,AI-DS,,S0028,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0029,,Student 0029,student,,,,,,,,,,,,ME,,S0029,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0030,,Student 0030,student,,,,,,,,,,,,ME,,S0030,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0031,,Student 0031,student,,,,,,,,,,,,ECE,,S0031,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0032,,Student 0032,student,,,,,,,,,,,,MBA,,S0032,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0033,,Student 0033,student,,,,,,,,,,,,MBA,,S0033,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0034,,Student 0034,student,,,,,,,,,,,,CSE,,S0034,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0035,,Student 0035,student,,,,,,,,,,,,CSE,,S0035,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0036,,Student 0036,student,,,,,,,,,,,,ME,,S0036,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0037,,Student 0037,student,,,,,,,,,,,,CSE,,S0037,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0038,,Student 0038,student,,,,,,,,,,,,MBA,,S0038,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0039,,Student 0039,student,,,,,,,,,,,,EEE,,S0039,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0040,,Student 0040,student,,,,,,,,,,,,AI-DS,,S0040,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0041,,Student 0041,student,,,,,,,,,,,,MBA,,S0041,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0042,,Student 0042,student,,,,,,,,,,,,MBA,,S0042,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0043,,Student 0043,student,,,,,,,,,,,,EEE,,S0043,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0044,,Student 0044,student,,,,,,,,,,,,MBA,,S0044,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0045,,Student 0045,student,,,,,,,,,,,,CE,,S0045,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0046,,Student 0046,student,,,,,,,,,,,,ECE,,S0046,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0047,,Student 0047,student,,,,,,,,,,,,ECE,,S0047,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0048,,Student 0048,student,,,,,,,,,,,,ME,,S0048,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0049,,Student 0049,student,,,,,,,,,,,,MBA,,S0049,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0050,,Student 0050,student,,,,,,,,,,,,ME,,S0050,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0051,,Student 0051,student,,,,,,,,,,,,AI-DS,,S0051,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0052,,Student 0052,student,,,,,,,,,,,,CSE,,S0052,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0053,,Student 0053,student,,,,,,,,,,,,EEE,,S0053,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0054,,Student 0054,student,,,,,,,,,,,,EEE,,S0054,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0055,,Student 0055,student,,,,,,,,,,,,EEE,,S0055,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0056,,Student 0056,student,,,,,,,,,,,,ECE,,S0056,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0057,,Student 0057,student,,,,,,,,,,,,CE,,S0057,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0058,,Student 0058,student,,,,,,,,,,,,CE,,S0058,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0059,,Student 0059,student,,,,,,,,,,,,ECE,,S0059,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0060,,Student 0060,student,,,,,,,,,,,,CSE,,S0060,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0061,,Student 0061,student,,,,,,,,,,,,CE,,S0061,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0062,,Student 0062,student,,,,,,,,,,,,ME,,S0062,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0063,,Student 0063,student,,,,,,,,,,,,ECE,,S0063,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0064,,Student 0064,student,,,,,,,,,,,,AI-DS,,S0064,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0065,,Student 0065,student,,,,,,,,,,,,ME,,S0065,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0066,,Student 0066,student,,,,,,,,,,,,AI-DS,,S0066,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0067,,Student 0067,student,,,,,,,,,,,,MBA,,S0067,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0068,,Student 0068,student,,,,,,,,,,,,EEE,,S0068,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0069,,Student 0069,student,,,,,,,,,,,,CSE,,S0069,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0070,,Student 0070,student,,,,,,,,,,,,EEE,,S0070,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0071,,Student 0071,student,,,,,,,,,,,,AI-DS,,S0071,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0072,,Student 0072,student,,,,,,,,,,,,AI-DS,,S0072,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0073,,Student 0073,student,,,,,,,,,,,,ME,,S0073,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0074,,Student 0074,student,,,,,,,,,,,,ECE,,S0074,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0075,,Student 0075,student,,,,,,,,,,,,MBA,,S0075,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0076,,Student 0076,student,,,,,,,,,,,,CSE,,S0076,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0077,,Student 0077,student,,,,,,,,,,,,ME,,S0077,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0078,,Student 0078,student,,,,,,,,,,,,CE,,S0078,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0079,,Student 0079,student,,,,,,,,,,,,AI-DS,,S0079,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0080,,Student 0080,student,,,,,,,,,,,,CSE,,S0080,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0081,,Student 0081,student,,,,,,,,,,,,EEE,,S0081,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0082,,Student 0082,student,,,,,,,,,,,,CE,,S0082,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0083,,Student 0083,student,,,,,,,,,,,,CE,,S0083,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0084,,Student 0084,student,,,,,,,,,,,,MBA,,S0084,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0085,,Student 0085,student,,,,,,,,,,,,MBA,,S0085,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0086,,Student 0086,student,,,,,,,,,,,,CE,,S0086,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0087,,Student 0087,student,,,,,,,,,,,,ECE,,S0087,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0088,,Student 0088,student,,,,,,,,,,,,CE,,S0088,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0089,,Student 0089,student,,,,,,,,,,,,AI-DS,,S0089,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0090,,Student 0090,student,,,,,,,,,,,,AI-DS,,S0090,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0091,,Student 0091,student,,,,,,,,,,,,AI-DS,,S0091,1.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0092,,Student 0092,student,,,,,,,,,,,,EEE,,S0092,4.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0093,,Student 0093,student,,,,,,,,,,,,CSE,,S0093,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0094,,Student 0094,student,,,,,,,,,,,,AI-DS,,S0094,2.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
STU_S0095,,Student 0095,student,,,,,,,,,,,,CSE,,S0095,3.0,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
